,loss,accuracy,val_loss,val_accuracy
0,5.410423376023017,0.008689261972904205,5.397587051758399,0.009379727765917778
0,5.3421615434521605,0.012104444205760956,5.144401302704444,0.027534039691090584
0,5.001566313922189,0.03851807117462158,4.704611127193157,0.0656580924987793
0,4.612281526967602,0.08140238374471664,4.579848986405593,0.08683812618255615
1,4.375476609912274,0.11075565963983536,4.219888375355647,0.1366111934185028
0,3.999480852469758,0.16449074447155,4.090632599133712,0.16127079725265503
0,3.6753967592878243,0.21826906502246857,3.563701244500967,0.23797276616096497
0,3.324465147623982,0.27637040615081787,3.3903365364441505,0.2735249698162079
1,3.0086115810381755,0.3300190269947052,3.6181159432117758,0.2167927324771881
0,2.802354847706665,0.3683641850948334,3.0232719412216773,0.33540090918540955
1,2.5750092693663955,0.40973544120788574,2.981069798652942,0.34629350900650024
2,2.389744595468776,0.4465675354003906,2.9099278037364664,0.37337368726730347
0,2.184008239318647,0.48681479692459106,2.723396810201498,0.40226930379867554
1,2.0326072786704863,0.5158654451370239,2.9277790188789368,0.36248108744621277
2,1.8370199992379246,0.5563721060752869,2.8499275812735925,0.411346435546875
0,1.7131224585387526,0.5803648829460144,3.0387979516616235,0.37972769141197205
1,1.5757524824546485,0.6086373925209045,2.8160109978455763,0.42163389921188354
2,1.4692334428741387,0.6327598094940186,2.9035771764241733,0.43419063091278076
0,1.3225250665279442,0.6682517528533936,2.6281129167630124,0.46187594532966614
1,1.2334157270006545,0.6870136857032776,2.664437770843506,0.47443267703056335
2,1.1353549735162285,0.7086287140846252,2.777654794546274,0.46550682187080383
0,1.0393447059053833,0.7287740111351013,2.746152474330022,0.47881996631622314
0,0.9699848300957585,0.7448123693466187,2.7843545262630167,0.4789712429046631
1,0.9028947367998796,0.7601158618927002,2.877554531280811,0.48124054074287415
0,0.8019424269464465,0.7848435044288635,2.9739006024140577,0.4662632346153259
1,0.7519232366564528,0.7991959452629089,3.218631762724656,0.4674735367298126
2,0.694425214043996,0.8098737597465515,3.2528290106700015,0.47201210260391235
3,0.6275754329367903,0.8258256912231445,3.180853701554812,0.4747352600097656
0,0.6603110638195393,0.819211483001709,3.2642683386802673,0.4779122471809387
0,0.5577542824294149,0.8435068130493164,3.1044860894863424,0.4898638427257538
0,0.5166938173746168,0.8573837280273438,3.5777804301335263,0.4738275408744812
0,0.4562785931211142,0.8687100410461426,3.442048357083247,0.4704992473125458
0,0.45713269324033046,0.8723413348197937,3.5464711785316467,0.48608168959617615
1,0.6111080378536202,0.8448037505149841,3.5005009586994467,0.4608169496059418
0,0.45308871399504946,0.86979079246521,3.7235251573415904,0.4653555154800415
1,0.3376968184361383,0.9029483199119568,3.815792033305535,0.48487141728401184
